station_complex,ridership
"Beach 98 St (A,S)",12919
Ralph Av (C),82904
Van Cortlandt Park-242 St (1),111381
61 St-Woodside (7),321148
"28 St (R,W)",230186
Beach 67 St (A),48966
"Forest Hills-71 Av (E,F,M,R)",459672
"City Hall (R,W)",98744
191 St (1),103829
Avenue X (F),38662
163 St-Amsterdam Av (C),74713
3 Av (L),132324
"Norwood Av (J,Z)",36313
"65 St (M,R)",60071
Pelham Pkwy (5),44772
"Astoria-Ditmars Blvd (N,W)",265586
Mets-Willets Point (7),189076
"Jay St-MetroTech (A,C,F,R)",627641
Graham Av (L),184502
"Myrtle Av (M,J,Z)",229938
East Broadway (F),277390
Longwood Av (6),50187
Brook Av (6),70033
"Beach 105 St (A,S)",11898
"Delancey St (F)/Essex St (J,M,Z)",543360
85 St-Forest Pkwy (J),71310
Avenue P (F),39059
"Broadway Junction (A,C,J,L,Z)",147840
"E 180 St (2,5)",144055
103 St-Corona Plaza (7),481987
Myrtle-Willoughby Avs (G),14048
Howard Beach-JFK Airport (A),83003
"President St-Medgar Evers College (2,5)",55648
"Prince St (R,W)",262532
"Wall St (4,5)",300859
21 St (G),8
Kings Hwy (N),105354
"Broad Channel (A,S)",5650
"125 St (4,5,6)",448532
"121 St (J,Z)",38001
Tompkinsville (SIR),10470
21 St-Queensbridge (F),161877
238 St (1),62588
77 St (R),94041
Aqueduct-N Conduit Av (A),13904
Avenue J (Q),87543
"36 St (M,R)",60724
Astor Pl (6),306958
"50 St (C,E)",394369
"Bowery (J,Z)",68776
Cathedral Pkwy (110 St) (1),212561
"8 St-NYU (R,W)",285146
111 St (7),183047
Ocean Pkwy (Q),63414
"Jackson Av (2,5)",55357
WTC Cortlandt (1),326749
50 St (1),482013
Dyckman St (1),95362
66 St-Lincoln Center (1),338163
"34 St-Penn Station (A,C,E)",1525853
"36 Av (N,W)",118961
103 St (6),175700
"225 St (2,5)",41727
18 Av (D),111892
"DeKalb Av (B,Q,R)",392032
Castle Hill Av (6),86666
"Fulton St (A,C,J,Z,2,3,4,5)",1646986
"59 St (N,R)",233964
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",1019756
"Rector St (R,W)",98138
40 St-Lowery St (7),169347
88 St (A),47393
86 St (1),256083
Jefferson St (L),175591
181 St (1),147588
Nostrand Av (3),61930
Van Siclen Av (3),38789
145 St (3),47216
E 149 St (6),67917
Clinton-Washington Avs (C),134283
"Flatbush Av-Brooklyn College (2,5)",303108
Classon Av (G),72571
Middle Village-Metropolitan Av (M),67640
52 St (7),120898
"Bowling Green (4,5)",439600
"Kings Hwy (B,Q)",344683
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",748454
"Jamaica Center-Parsons/Archer (E,J,Z)",503140
"Gun Hill Rd (2,5)",91401
"145 St (A,C,B,D)",389883
Bedford Park Blvd-Lehman College (4),73134
Kosciuszko St (J),105683
68 St-Hunter College (6),336870
Cypress Hills (J),22526
Bay 50 St (D),40713
Avenue H (Q),46448
Fresh Pond Rd (M),97533
Clinton-Washington Avs (G),59826
"Steinway St (M,R)",232014
"Central Park North (110 St) (2,3)",118454
