Date,Open
1977-07-01,100.480003
1977-08-01,98.849998
1977-09-01,96.769997
1977-11-01,92.190002
1977-12-01,94.830002
1978-02-01,89.25
1978-03-01,87.040001
1978-05-01,96.830002
1978-06-01,97.239998
1978-08-01,100.68
1978-09-01,103.290001
1978-11-01,94.129997
1978-12-01,95.010002
1979-02-01,99.93
1979-03-01,96.279999
1979-05-01,101.760002
1979-06-01,99.080002
1979-08-01,103.809998
1979-10-01,109.190002
1979-11-01,101.82
1980-02-01,114.160004
1980-04-01,102.089996
1980-05-01,106.290001
1980-07-01,114.239998
1980-08-01,121.669998
1980-10-01,125.459999
1980-12-01,140.520004
1981-04-01,136.0
1981-05-01,132.809998
1981-06-01,132.589996
1981-07-01,131.210007
1981-09-01,122.790001
1981-10-01,116.18
1981-12-01,126.349998
1982-02-01,119.809998
1982-03-01,113.110001
1982-04-01,111.959999
1982-06-01,111.970001
1982-07-01,109.519997
1982-09-01,119.519997
1982-10-01,120.400002
1982-11-01,133.720001
1982-12-01,138.559998
1983-02-01,145.289993
1983-03-01,148.070007
1983-06-01,162.380005
1983-07-01,168.110001
1983-08-01,162.339996
1983-09-01,164.399994
1983-11-01,163.550003
1983-12-01,166.369995
1984-02-01,163.410004
1984-03-01,157.059998
1984-05-01,160.050003
1984-06-01,150.550003
1984-08-01,150.660004
1984-10-01,166.100006
1984-11-01,166.089996
1985-02-01,179.630005
1985-03-01,181.179993
1985-04-01,180.660004
1985-05-01,179.830002
1985-07-01,191.850006
1985-08-01,190.919998
1985-10-01,182.059998
1985-11-01,189.820007
1986-04-01,238.899994
1986-05-01,235.520004
1986-07-01,250.669998
1986-08-01,236.119995
1986-10-01,231.320007
1986-12-01,249.220001
1987-04-01,291.589996
1987-05-01,286.98999
1987-06-01,290.119995
1987-07-01,303.98999
1987-09-01,329.809998
1987-10-01,321.829987
1987-12-01,230.320007
1988-02-01,257.049988
1988-03-01,267.820007
1988-06-01,262.160004
1988-07-01,273.5
1988-08-01,272.029999
1988-09-01,261.519989
1988-11-01,278.970001
1988-12-01,273.679993
1989-02-01,297.470001
1989-03-01,288.859985
1989-05-01,309.640015
1989-06-01,320.51001
1989-08-01,346.079987
1989-09-01,351.450012
1989-11-01,340.359985
1989-12-01,346.01001
1990-02-01,329.079987
1990-03-01,331.890015
1990-05-01,330.799988
1990-06-01,361.26001
1990-08-01,356.149994
1990-10-01,306.100006
1990-11-01,303.98999
1991-02-01,343.910004
1991-03-01,367.070007
1991-04-01,375.220001
1991-05-01,375.350006
1991-07-01,371.179993
1991-08-01,387.809998
1991-10-01,387.859985
1991-11-01,392.459991
1992-04-01,403.670013
1992-05-01,414.950012
1992-06-01,415.350006
1992-07-01,408.200012
1992-09-01,414.029999
1992-10-01,417.799988
1992-12-01,431.350006
1993-02-01,438.779999
1993-03-01,443.380005
1993-04-01,451.670013
1993-06-01,450.230011
1993-07-01,450.540009
1993-09-01,463.549988
1993-10-01,458.929993
1993-11-01,467.829987
1993-12-01,461.929993
1994-02-01,481.600006
1994-03-01,467.190002
1994-06-01,456.5
1994-07-01,444.269989
1994-08-01,458.279999
1994-09-01,475.48999
1994-11-01,472.26001
1994-12-01,453.549988
1995-02-01,470.420013
1995-03-01,487.390015
1995-05-01,514.76001
1995-06-01,533.400024
1995-08-01,562.059998
1995-09-01,561.880005
1995-11-01,581.5
1995-12-01,605.369995
1996-02-01,636.02002
1996-03-01,640.429993
1996-04-01,645.5
1996-05-01,654.169983
1996-07-01,670.630005
1996-08-01,639.950012
1996-10-01,687.309998
1996-11-01,705.27002
1997-04-01,757.119995
1997-05-01,801.340027
1997-07-01,885.140015
1997-08-01,954.289978
1997-10-01,947.280029
1997-12-01,955.400024
1998-04-01,1101.75
1998-05-01,1111.75
1998-06-01,1090.819946
1998-07-01,1133.839966
1998-09-01,957.280029
1998-10-01,1017.01001
1998-12-01,1163.630005
1999-02-01,1279.640015
1999-03-01,1238.329956
1999-04-01,1286.369995
1999-06-01,1301.839966
1999-07-01,1372.709961
1999-09-01,1320.410034
1999-10-01,1282.709961
1999-11-01,1362.930054
1999-12-01,1388.910034
2000-02-01,1394.459961
2000-03-01,1366.420044
2000-05-01,1452.430054
2000-06-01,1420.599976
2000-08-01,1430.829956
2000-09-01,1517.680054
2000-11-01,1429.400024
2000-12-01,1314.949951
2001-02-01,1366.01001
2001-03-01,1239.939941
2001-05-01,1249.459961
2001-06-01,1255.819946
2001-08-01,1211.22998
2001-10-01,1040.939941
2001-11-01,1059.780029
2002-02-01,1130.199951
2002-03-01,1106.72998
2002-04-01,1147.390015
2002-05-01,1076.920044
2002-07-01,989.820007
2002-08-01,911.619995
2002-10-01,815.280029
2002-11-01,885.76001
2003-04-01,848.179993
2003-05-01,916.919983
2003-07-01,974.5
2003-08-01,990.309998
2003-10-01,995.969971
2003-12-01,1058.199951
2004-03-01,1144.939941
2004-04-01,1126.209961
2004-06-01,1120.680054
2004-07-01,1140.839966
2004-09-01,1104.23999
2004-10-01,1114.579956
2004-11-01,1130.199951
2004-12-01,1173.780029
2005-02-01,1181.27002
2005-03-01,1203.599976
2005-04-01,1180.589966
2005-06-01,1191.5
2005-07-01,1191.329956
2005-08-01,1234.180054
2005-09-01,1220.329956
2005-11-01,1207.01001
2005-12-01,1249.47998
2006-02-01,1280.079956
2006-03-01,1280.660034
2006-05-01,1310.609985
2006-06-01,1270.050049
2006-08-01,1278.530029
2006-09-01,1303.800049
2006-11-01,1377.76001
2006-12-01,1400.630005
2007-02-01,1437.900024
2007-03-01,1406.800049
2007-05-01,1482.369995
2007-06-01,1530.619995
2007-08-01,1455.180054
2007-10-01,1527.290039
2007-11-01,1545.790039
2008-02-01,1378.599976
2008-04-01,1326.410034
2008-05-01,1385.969971
2008-07-01,1276.689941
2008-08-01,1269.420044
2008-10-01,1164.170044
2008-12-01,888.609985
2009-04-01,793.590027
2009-05-01,872.73999
2009-06-01,923.26001
2009-07-01,920.820007
2009-09-01,1019.52002
2009-10-01,1054.910034
2009-12-01,1098.890015
2010-02-01,1073.890015
2010-03-01,1105.359985
2010-04-01,1171.22998
2010-06-01,1087.300049
2010-07-01,1031.099976
2010-09-01,1049.719971
2010-10-01,1143.48999
2010-11-01,1185.709961
2010-12-01,1186.599976
2011-02-01,1289.140015
2011-03-01,1328.640015
2011-04-01,1329.47998
2011-06-01,1345.199951
2011-07-01,1320.640015
2011-08-01,1292.589966
2011-09-01,1219.119995
2011-11-01,1251.0
2011-12-01,1246.910034
2012-02-01,1312.449951
2012-03-01,1365.900024
2012-05-01,1397.859985
2012-06-01,1309.869995
2012-08-01,1379.319946
2012-10-01,1440.900024
2012-11-01,1412.199951
2013-02-01,1498.109985
2013-03-01,1514.680054
2013-04-01,1569.180054
2013-05-01,1597.550049
2013-07-01,1609.780029
2013-08-01,1689.420044
2013-10-01,1682.410034
2013-11-01,1758.699951
2014-04-01,1873.959961
2014-05-01,1884.390015
2014-07-01,1962.290039
2014-08-01,1929.800049
2014-10-01,1971.439941
2014-12-01,2065.78
2015-01-01,2068.22
2015-02-01,2068.22
2015-03-01,2068.22
2015-04-01,2067.63
2015-05-01,2087.38
2015-06-01,2108.64
2015-07-01,2067.0
2015-09-01,1970.09
2015-10-01,1919.65
2015-12-01,2082.93
2016-02-01,1936.94
2016-03-01,1937.09
2016-04-01,2056.62
2016-06-01,2093.94
2016-07-01,2099.34
2016-08-01,2173.15
2016-09-01,2171.33
2016-11-01,2128.68
2016-12-01,2200.17
2017-02-01,2285.59
2017-03-01,2380.13
2017-05-01,2388.5
2017-06-01,2415.65
2017-08-01,2477.1
2017-09-01,2474.42
2017-11-01,2583.21
2017-12-01,2645.1
2018-02-01,2816.45
2018-03-01,2715.22
2018-05-01,2643.64
2018-06-01,2718.7
2018-08-01,2821.17
2018-10-01,2926.29
2018-11-01,2717.58
2019-02-01,2702.32
2019-03-01,2798.22
2019-04-01,2848.63
2019-05-01,2952.33
2019-07-01,2971.41
2019-08-01,2980.32
2019-10-01,2983.69
2019-11-01,3050.72
2020-04-01,2498.08
2020-05-01,2869.09
2020-06-01,3038.78
2020-07-01,3105.92
2020-09-01,3507.44
2020-10-01,3385.87
2020-12-01,3645.87
2021-02-01,3731.17
2021-03-01,3842.51
2021-04-01,3992.78
2021-06-01,4216.52
2021-07-01,4300.73
2021-09-01,4528.8
2021-10-01,4317.16
2021-11-01,4610.62
2021-12-01,4602.82
2022-02-01,4519.57
2022-03-01,4363.14
2022-04-01,4540.32
2022-06-01,4149.78
2022-07-01,3781.0
2022-08-01,4112.38
2022-09-01,3936.73
2022-11-01,3901.79
2022-12-01,4087.14
2023-02-01,4070.07
2023-03-01,3963.34
2023-05-01,4166.79
2023-06-01,4183.03
2023-08-01,4578.83
2023-09-01,4530.6
2023-11-01,4201.27
2023-12-01,4559.43
2024-02-01,4861.11
2024-03-01,5098.51
2024-04-01,5257.97
2024-05-01,5029.03
2024-07-01,5471.08
2024-08-01,5537.84
2024-10-01,5757.73
