,Rk,Date,Age,Tm,Unnamed: 4,Opp,Unnamed: 6,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,name
21,22,2024-07-10,29-317,PHO,,DAL,W (+16),1,33:59,12,19,0.632,1,4,0.25,7,9,0.778,1,4,5,4,0,0,3,4,32,22.8,Copper
22,23,2024-07-12,29-319,PHO,@,IND,L (-9),1,34:47,11,25,0.44,3,11,0.273,11,13,0.846,0,1,1,1,0,0,2,5,36,19.1,Copper
23,24,2024-07-14,29-321,PHO,@,CON,L (-27),1,34:30,8,17,0.471,1,4,0.25,0,0,,1,5,6,2,0,0,7,3,17,3.7,Copper
24,25,2024-07-16,29-323,PHO,@,WAS,W (+9),1,32:38,9,16,0.563,1,4,0.25,3,3,1.0,0,7,7,1,0,0,1,3,22,15.0,Copper
25,26,2024-08-15,29-353,PHO,@,CHI,W (+20),1,35:03,12,19,0.632,3,5,0.6,2,4,0.5,0,2,2,3,0,0,1,3,29,20.2,Copper
26,27,2024-08-16,29-354,PHO,@,IND,L (-9),1,38:20,6,17,0.353,2,7,0.286,18,19,0.947,1,7,8,6,1,0,3,5,32,25.1,Copper
27,28,2024-08-18,29-356,PHO,,CHI,W (+18),1,30:43,2,11,0.182,0,4,0.0,3,4,0.75,1,2,3,2,1,0,2,5,7,-0.6,Copper
28,29,2024-08-21,29-359,PHO,@,ATL,L (-9),1,33:46,8,17,0.471,2,5,0.4,4,5,0.8,0,6,6,2,0,0,2,3,22,12.9,Copper
29,30,2024-08-23,29-361,PHO,@,ATL,W (+2),1,36:05,6,20,0.3,2,5,0.4,2,2,1.0,0,5,5,1,0,0,2,3,16,3.4,Copper
30,31,2024-08-26,29-364,PHO,,NYL,L (-14),1,33:31,7,17,0.412,0,6,0.0,0,0,,2,3,5,0,2,0,3,4,14,4.6,Copper
31,32,2024-08-28,30-000,PHO,,MIN,L (-13),1,32:59,3,10,0.3,1,4,0.25,6,7,0.857,2,2,4,0,0,0,5,3,13,2.6,Copper
32,33,2024-09-01,30-004,PHO,,LVA,L (-18),1,30:57,5,10,0.5,1,4,0.25,4,6,0.667,1,5,6,1,1,0,3,2,15,9.3,Copper
33,34,2024-09-03,30-006,PHO,,ATL,W (+8),1,31:58,8,16,0.5,3,7,0.429,9,12,0.75,0,3,3,4,0,0,4,0,28,18.5,Copper
34,35,2024-09-05,30-008,PHO,,WAS,L (-13),1,29:49,4,12,0.333,1,5,0.2,2,4,0.5,0,5,5,2,0,0,4,4,11,0.7,Copper
35,36,2024-09-07,30-010,PHO,@,SEA,L (-24),1,27:21,4,16,0.25,2,7,0.286,1,2,0.5,1,4,5,2,1,0,2,1,11,2.9,Copper
36,37,2024-09-19,30-022,PHO,,SEA,L (-19),1,25:18,2,9,0.222,0,4,0.0,0,0,,0,1,1,5,1,0,1,2,4,1.5,Copper
0,1,2024-05-15,27-074,DAL,,CHI,W (+8),1,38:16,10,23,0.435,2,6,0.333,3,3,1.0,0,3,3,7,3,0,2,4,25,18.1,Ogunbawale
1,2,2024-05-18,27-077,DAL,,CHI,L (-9),1,39:51,9,28,0.321,6,14,0.429,11,11,1.0,0,5,5,3,2,0,4,3,35,19.4,Ogunbawale
2,3,2024-05-21,27-080,DAL,@,ATL,L (-5),1,37:09,8,20,0.4,1,8,0.125,7,8,0.875,1,2,3,2,3,0,4,2,24,13.7,Ogunbawale
3,4,2024-05-25,27-084,DAL,@,PHO,W (+15),1,38:09,11,24,0.458,7,12,0.583,11,12,0.917,0,7,7,4,4,0,3,1,40,32.7,Ogunbawale
4,5,2024-05-26,27-085,DAL,@,LAS,W (+1),1,37:22,7,30,0.233,0,8,0.0,6,7,0.857,1,4,5,5,0,1,2,1,20,5.1,Ogunbawale
5,6,2024-05-31,27-090,DAL,@,CON,L (-2),1,38:39,8,21,0.381,3,8,0.375,2,2,1.0,0,4,4,7,2,0,1,2,21,15.8,Ogunbawale
6,7,2024-06-02,27-092,DAL,@,MIN,L (-11),1,39:36,6,17,0.353,2,5,0.4,7,7,1.0,1,5,6,6,6,0,10,4,21,12.3,Ogunbawale
7,8,2024-06-05,27-095,DAL,,LVA,L (-14),1,37:15,9,23,0.391,3,9,0.333,10,10,1.0,1,3,4,7,4,0,6,5,31,21.0,Ogunbawale
8,9,2024-06-07,27-097,DAL,@,LAS,L (-9),1,38:23,10,28,0.357,0,9,0.0,2,2,1.0,0,1,1,4,4,0,3,2,22,9.7,Ogunbawale
9,10,2024-06-09,27-099,DAL,,PHO,L (-7),1,50:00,9,27,0.333,3,11,0.273,4,6,0.667,2,5,7,10,4,0,3,3,25,18.6,Ogunbawale
10,11,2024-06-13,27-103,DAL,,SEA,L (-8),1,35:43,8,19,0.421,5,9,0.556,3,3,1.0,2,4,6,5,2,1,6,5,24,14.7,Ogunbawale
11,12,2024-06-15,27-105,DAL,,CON,L (-18),1,34:40,2,15,0.133,1,6,0.167,6,7,0.857,2,1,3,5,1,0,1,5,11,4.1,Ogunbawale
12,13,2024-06-20,27-110,DAL,@,CHI,L (-11),1,38:11,10,24,0.417,7,16,0.438,4,4,1.0,2,1,3,0,3,0,4,4,31,17.3,Ogunbawale
13,14,2024-06-22,27-112,DAL,@,WAS,L (-28),1,33:38,3,11,0.273,0,6,0.0,0,1,0.0,0,7,7,4,1,0,3,5,6,0.0,Ogunbawale
14,15,2024-06-23,27-113,DAL,@,WAS,L (-8),1,40:00,9,21,0.429,5,10,0.5,0,0,,1,6,7,3,2,0,1,2,23,16.7,Ogunbawale
15,16,2024-06-27,27-117,DAL,,MIN,W (+6),1,38:47,8,17,0.471,5,8,0.625,2,2,1.0,0,4,4,9,1,0,1,2,23,21.0,Ogunbawale
16,17,2024-06-29,27-119,DAL,@,SEA,L (-21),1,37:30,7,15,0.467,6,10,0.6,4,6,0.667,0,5,5,4,4,0,3,1,24,20.4,Ogunbawale
17,18,2024-07-01,27-121,DAL,@,SEA,L (-24),1,38:37,6,18,0.333,3,9,0.333,6,6,1.0,2,4,6,3,5,0,3,0,21,17.5,Ogunbawale
18,19,2024-07-03,27-123,DAL,,PHO,L (-8),1,39:54,8,22,0.364,3,10,0.3,7,7,1.0,1,5,6,5,2,0,1,4,26,18.9,Ogunbawale
19,20,2024-07-05,27-125,DAL,,ATL,W (+3),1,38:43,6,16,0.375,1,7,0.143,6,8,0.75,0,5,5,4,2,1,4,3,19,11.2,Ogunbawale
